9404416,8498081,8526288,737280,0,1
16531456,15629928,15662232,720896,0,2
23478272,22532009,22567344,770048,0,3
29442048,28486434,28523640,770048,0,4
37699584,30772465,36764920,786432,0,5
44122112,37183159,43179384,794624,0,6
49299456,42311321,42351024,6807552,0,7
57360384,50336049,50379896,6832128,0,8
65224704,58147260,58195192,6881280,0,9
73613312,66470497,66526584,6938624,0,10
79970304,64487755,72867320,6955008,0,11
79970304,63097202,78380664,1441792,0,12
89473024,64057168,72604080,16728064,0,13
89473024,70195455,78748792,10575872,0,14
89473024,78488245,87047416,2277376,0,15
99368960,82245499,96943480,2277376,0,16
104415232,80842192,101957112,2310144,0,17
113786880,90157621,111279736,2359296,0,18
121192448,92491971,118628088,2416640,0,19
127352832,92262961,124747640,2457600,0,20
134496256,99349374,131842040,2506752,0,21
143081472,107914568,140411000,2523136,0,22
151797760,107168954,116709808,34947072,0,23
161300480,116643032,126188648,34963456,0,24
169820160,125159191,134708456,34963456,0,25
169820160,131111148,140664168,29007872,0,26
169820160,129606490,146292200,23379968,0,27
169820160,129708279,154205800,15466496,0,28
177225728,131559639,161570536,15507456,0,29
185876480,131916552,170221416,15507456,0,30
194199552,133102590,178495464,15556608,0,31
194199552,129039766,183754856,10297344,0,32
202063872,126972491,191586536,10330112,0,33
208355328,133248052,197869928,10338304,0,34
215629824,134371350,205111784,10371072,0,35
220741632,134190308,210190952,10403840,0,36
226443264,132516422,215884520,10412032,0,37
233717760,131717141,223118184,10452992,0,38
240402432,129813524,229786600,10469376,0,39
250232832,131341064,139680176,110411776,0,40
250232832,130943528,147807336,102277120,0,41
250232832,128396042,153386216,96698368,0,42
250232832,132648094,163265896,86818816,0,43
250232832,134639550,171924968,78159872,0,44
250232832,137017880,180584040,69500928,0,45
250232832,139245195,187883240,62201856,0,46
250232832,139105308,196460392,53624832,0,47
250232832,137560215,203571176,46514176,0,48
250232832,139282827,212402280,37683200,0,49
250232832,142746030,221561064,28524544,0,50
250232832,144371718,230531432,19554304,0,51
250232832,150803233,236970472,13115392,0,52
256196608,148434469,242877032,13172736,0,53
262356992,146624879,248988392,13221888,0,54
271335424,155583469,257950568,13238272,0,55
278413312,157045430,264987624,13279232,0,56
287195136,157110130,273712232,13336576,0,57
293355520,156783999,163322288,129892352,0,58
293355520,157337882,169983080,123224064,0,59
293355520,156181706,176053480,117153792,0,60
293355520,156960841,185556328,107651072,0,61
293355520,153485581,191962600,101244928,0,62
293355520,153793960,198180456,95027200,0,63
293355520,152989670,204611304,88596480,0,64
293355520,154687532,212262760,80945152,0,65
293355520,151043881,217276392,75931648,0,66
293355520,152776700,225222760,67985408,0,67
293355520,154899925,232481000,60727296,0,68
293355520,153149248,239886696,53321728,0,69
293355520,153323080,248898024,44310528,0,70
293355520,152601758,256754280,36454400,0,71
293355520,148936780,262054632,31154176,0,72
293355520,151636415,271164264,22044672,0,73
293355520,150896462,276857832,16351232,0,74
301940736,152144635,285410408,16384000,0,75
311246848,152430850,294667496,16433152,0,76
317014016,148675616,300393832,16474112,0,77
324026368,146663537,307389928,16490496,0,78
330645504,145273453,313951848,16547840,0,79
335757312,142933527,319014632,16596992,0,80
344539136,142443654,151812528,192585728,0,81
344539136,142651961,158096488,186294272,0,82
344539136,144827478,167271656,177119232,0,83
344539136,145616554,175889768,168501248,0,84
344539136,144846955,183737832,160653312,0,85
344539136,146093320,191544936,152846336,0,86
344539136,142219859,197443304,146948096,0,87
344539136,141977037,206700392,137691136,0,88
344539136,143325642,213057512,131334144,0,89
344539136,142611397,221454440,122937344,0,90
344539136,143121729,228999400,115392512,0,91
344539136,140252058,234520936,109871104,0,92
344539136,140880956,244318696,100073472,0,93
344539136,144572982,253731432,90660864,0,94
344539136,146640063,263602920,80789504,0,95
344539136,145825724,272049000,72343552,0,96
344539136,147168018,279290856,65101824,0,97
344539136,146583015,287253608,57139200,0,98
344539136,150288170,296649960,47742976,0,99
344539136,151102322,159152560,185245696,0,100
344539136,152465339,165813352,178577408,0,101
344539136,155684903,175693032,168697856,0,102
344539136,156955960,184204648,160186368,0,103
344539136,154910794,190602728,153788416,0,104
344539136,154497612,196853352,147537920,0,105
344539136,155385733,206511848,137879552,0,106
344539136,157307093,216285032,128106496,0,107
344539136,154869211,222625768,121765888,0,108
344539136,154760006,230375528,114016256,0,109
344539136,156842716,238706920,105684992,0,110
344539136,154951572,244466024,99926016,0,111
344539136,158518768,254394856,89997312,0,112
344539136,156185755,259613288,84779008,0,113
344539136,159125907,268894952,75497472,0,114
344539136,158309136,276407144,67985408,0,115
344539136,156583770,283190248,61202432,0,116
344539136,158306305,292168808,52224000,0,117
344539136,157105446,297755880,46637056,0,118
344539136,161038166,307209576,37183488,0,119
344539136,161620250,317203944,27189248,0,120
344539136,159210422,168966576,175431680,0,121
344539136,155472772,175111272,169279488,0,122
344539136,156370627,181591272,162799616,0,123
344539136,157446485,188808552,155582464,0,124
344539136,158529343,195657192,148733952,0,125
344539136,160078737,203316840,141074432,0,126
344539136,159278393,212442856,131948544,0,127
344539136,160732534,220176232,124215296,0,128
344539136,159668175,225509352,118882304,0,129
344539136,160004399,232325224,112066560,0,130
344539136,161613266,239149288,105242624,0,131
344539136,161566781,248906088,95485952,0,132
344539136,157898955,255107560,89284608,0,133
344539136,157385607,263570024,80822272,0,134
344539136,155775207,271246056,73146368,0,135
344539136,153369159,276349800,68042752,0,136